Id,Burg,Province,Province Full Name,State,State Full Name,Culture,Religion,Group,Population,X,Y,Latitude,Longitude,Elevation (ft),Temperature,Temperature likeness,Capital,Port,Citadel,Walls,Plaza,Temple,Shanty Town,Emblem,Preview link
1,Tetrinch,,,Bakuna,Bakuna's Territories,Wildlands,Astellian Spirits,town,6931,173.89,557.87,-13.55,-121.33,30,27°C,Mogadishu (Somalia),,port,,,plaza,,,{t1:vert;ordinaries:[{ordinary:bordure;t:or}];charges:[{charge:oak;t:argent;p:e;t2:argent;t3:argent;size:1.1}];shield:round},https://watabou.github.io/city-generator/?name=Tetrinch&population=6931&size=27&seed=7742447050001&river=1&coast=1&farms=1&citadel=0&urban_castle=0&hub=0&plaza=1&greens=1&temple=0&walls=0&shantytown=0&style=natural&sea=1.12
2,Nidil,WCP,Western Crown Provinces,Crown,Crown Provines,Wildlands,Astellian Spirits,town,10562,616.57,638.05,-25.85,-53.44,13,22°C,Guangzhou (China),,,,,plaza,,,{t1:or;charges:[{charge:bell;t:gules;p:e;t2:gules;size:1.5}];shield:round},https://watabou.github.io/city-generator/?name=Nidil&population=10562&size=32&seed=7742447050002&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=1&greens=1&temple=0&walls=0&shantytown=0&style=natural
3,Gatal,ECP,Eastern Crown Provines,Crown,Crown Provines,Wildlands,Soumi Shamanism,city,16168,1205.06,311.56,24.22,36.82,2051,16°C,Dubrovnik (Croatia),,,citadel,,plaza,,,{t1:pally-argent-sable;division:{division:chevronny;t:azure};ordinaries:[{ordinary:bendSinister;t:purpure;line:straight}];shield:round},https://watabou.github.io/city-generator/?name=Gatal&population=16168&size=37&seed=7742447050003&river=0&coast=0&farms=1&citadel=1&urban_castle=0&hub=0&plaza=1&greens=1&temple=0&walls=0&shantytown=0&style=natural
4,Quhohal,WCP,Western Crown Provinces,Crown,Crown Provines,Wildlands,Shwazen Beliefs,town,5356,565.8,250.19,33.63,-61.22,118,11°C,Antwerp (Belgium),,port,,,plaza,,,{t1:gules;division:{division:perSaltire;t:or};charges:[{charge:drakkar;t:argent;p:e;t2:argent;t3:argent;divided:counter;size:1.5}];shield:round},https://watabou.github.io/city-generator/?name=Quhohal&population=5356&size=24&seed=7742447050004&river=0&coast=1&farms=1&citadel=0&urban_castle=0&hub=0&plaza=1&greens=1&temple=0&walls=0&shantytown=0&style=natural&sea=0.13
5,Tisi,ECP,Eastern Crown Provines,Crown,Crown Provines,Wildlands,Soumi Shamanism,town,4194,1387.45,599.87,-19.99,64.79,2051,23°C,Rio de Janeiro (Brazil),,,,,plaza,,,{t1:argent;charges:[{charge:harp;t:gules;p:e;t2:gules;size:1.5}];shield:round},https://watabou.github.io/city-generator/?name=Tisi&population=4194&size=22&seed=7742447050005&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=1&greens=1&temple=0&walls=0&shantytown=0&style=natural
6,Notah,ECP,Eastern Crown Provines,Crown,Crown Provines,Wildlands,Soumi Shamanism,town,4053,1511.73,762.36,-44.91,83.85,52,4°C,Reykjavik (Iceland),,,citadel,walls,plaza,,,{t1:sable;charges:[{charge:garb;t:or;p:abcpqh;t2:or;size:0.5}];shield:round},https://watabou.github.io/city-generator/?name=Notah&population=4053&size=22&seed=7742447050006&river=0&coast=0&farms=1&citadel=1&urban_castle=1&hub=0&plaza=1&greens=1&temple=0&walls=1&shantytown=0&style=natural
7,Boral,WCP,Western Crown Provinces,Crown,Crown Provines,Wildlands,Shwazen Beliefs,town,5051,438.89,174.49,45.24,-80.69,13,1°C,Arkhangelsk (Russia),,port,,,plaza,,,{t1:azure;division:{division:perBend;t:argent;line:straight};ordinaries:[{ordinary:bordure;t:or}];shield:round},https://watabou.github.io/city-generator/?name=Boral&population=5051&size=24&seed=7742447050007&river=1&coast=1&farms=0&citadel=0&urban_castle=0&hub=0&plaza=1&greens=1&temple=0&walls=0&shantytown=0&style=natural&sea=0.51
8,Ifihl,ECP,Eastern Crown Provines,Crown,Crown Provines,Wildlands,Soumi Shamanism,town,2251,1662.85,304.88,25.25,107.03,52,19°C,Marrakesh (Morocco),,port,citadel,,plaza,,,{t1:vert;charges:[{charge:anchor;t:argent;p:jeo;size:0.5}];shield:round},https://watabou.github.io/city-generator/?name=Ifihl&population=2251&size=18&seed=7742447050008&river=1&coast=1&farms=1&citadel=1&urban_castle=1&hub=1&plaza=1&greens=1&temple=0&walls=0&shantytown=0&style=natural&sea=0.68
9,Batakal,ECP,Eastern Crown Provines,Crown,Crown Provines,Wildlands,Soumi Shamanism,village,1605,1147.24,736.83,-41,27.95,118,8°C,Prague (Czechia),,port,,,plaza,,,{t1:argent;charges:[{charge:garb;t:or;p:abcpqh;t2:gules;size:0.5}];shield:round},https://watabou.github.io/village-generator/?pop=1605&name=Batakal&seed=7742447050009&width=1600&height=780&style=default&tags=coast%2Chighway%2Cfarmland%2Cdense
10,Ilitahol,ECP,Eastern Crown Provines,Crown,Crown Provines,Wildlands,Soumi Shamanism,town,5128,1112.5,418.9,7.76,22.62,738,27°C,Mogadishu (Somalia),,,citadel,,plaza,,,{t1:sable;ordinaries:[{ordinary:fess;t:argent;line:straight}];charges:[{charge:shield;t:sable;p:e;t2:sable;size:0.7}];shield:round},https://watabou.github.io/city-generator/?name=Ilitahol&population=5128&size=24&seed=7742447050010&river=0&coast=0&farms=1&citadel=1&urban_castle=1&hub=0&plaza=1&greens=1&temple=0&walls=0&shantytown=0&style=natural
11,Lomul,WCP,Western Crown Provinces,Crown,Crown Provines,Crown,Shwazen Beliefs,city,20878,714.4,237.15,35.63,-38.43,118,9°C,Copenhagen (Denmark),,port,citadel,walls,plaza,temple,shanty town,{t1:argent;ordinaries:[{ordinary:pale;t:azure;line:potentyDexter}];charges:[{charge:dolphin;t:argent;p:e;t2:argent;size:0.7}];shield:heater},https://watabou.github.io/city-generator/?name=Lomul&population=20878&size=41&seed=7742447050011&river=0&coast=1&farms=1&citadel=1&urban_castle=0&hub=1&plaza=1&greens=1&temple=1&walls=1&shantytown=1&style=natural&sea=0.3
12,Ipit,ECP,Eastern Crown Provines,Crown,Crown Provines,Wildlands,Soumi Shamanism,town,7204,1391.1,733.07,-40.42,65.35,397,7°C,Montreal (Canada),,port,,,plaza,,,{t1:ermine-argent-sable;division:{division:perChevron;t:gules;line:straight};shield:round},https://watabou.github.io/city-generator/?name=Ipit&population=7204&size=27&seed=7742447050012&river=1&coast=1&farms=1&citadel=0&urban_castle=0&hub=0&plaza=1&greens=1&temple=0&walls=0&shantytown=0&style=natural
13,Zitah,ECP,Eastern Crown Provines,Crown,Crown Provines,Wildlands,Soumi Shamanism,town,3513,1277.45,500.28,-4.72,47.92,161,29°C,Niamey (Niger),,port,,,plaza,,,{t1:chequy-argent-purpure;charges:[{charge:mullet4;t:azure;p:e;size:1.5}];shield:round},https://watabou.github.io/city-generator/?name=Zitah&population=3513&size=21&seed=7742447050013&river=1&coast=1&farms=1&citadel=0&urban_castle=0&hub=1&plaza=1&greens=1&temple=0&walls=0&shantytown=0&style=natural&sea=0.39
14,Bigil,ECP,Eastern Crown Provines,Crown,Crown Provines,Wildlands,Soumi Shamanism,city,17042,1681.1,486.67,-2.63,109.83,266,28°C,Bangkok (Thailand),,,,walls,plaza,,,{t1:gules;division:{division:gyronny;t:argent};shield:round},https://watabou.github.io/city-generator/?name=Bigil&population=17042&size=38&seed=7742447050014&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=1&greens=1&temple=0&walls=1&shantytown=0&style=natural
15,Paxa,WCP,Western Crown Provinces,Crown,Crown Provines,Wildlands,Astellian Spirits,town,8699,372.66,692.29,-34.17,-90.85,397,13°C,Milan (Italy),,,,,plaza,,,{t1:purpure;ordinaries:[{ordinary:fess;t:argent;line:nebuly}];charges:[{charge:cannon;t:or;p:abcz;t2:or;size:0.5}];shield:round},https://watabou.github.io/city-generator/?name=Paxa&population=8699&size=29&seed=7742447050015&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=1&greens=1&temple=0&walls=0&shantytown=0&style=natural
